LNEC Test File eXtractor

File: laquilaReducedScale_2.acq

Created in: 2026-02-25 18:46:47.890383

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	8982	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
-4.13860768890383e-05	nan	0.0	nan	nan	0.0	-1424.8168945312511
-3.9980438308716036e-05	nan	0.0	nan	nan	0.0	-1274.8535156250011
-3.9980438308716036e-05	nan	0.0	nan	nan	0.0	-1560.0219726562511
-3.847439697265647e-05	nan	0.0	nan	nan	0.0	-659.765625000001
-3.8976410751342994e-05	nan	0.0	nan	nan	0.0	-1709.9853515625011
-4.13860768890383e-05	nan	0.0	nan	nan	0.0	-1094.8974609375011
-4.048245208740256e-05	nan	0.0	nan	nan	0.0	-1350.0732421875011
-3.947842453002952e-05	nan	0.0	nan	nan	0.0	-1184.8754882812511
-3.8976410751342994e-05	nan	0.0	nan	nan	0.0	-1290.0878906250011
-3.947842453002952e-05	nan	0.0	nan	nan	0.0	-854.956054687501
-3.9980438308716036e-05	nan	0.0	nan	nan	0.0	-1454.8095703125011
-3.8976410751342994e-05	nan	0.0	nan	nan	0.0	-2265.087890625001
-4.088406311035178e-05	nan	0.0	nan	nan	0.0	-1665.2343750000011
-3.9980438308716036e-05	nan	0.0	nan	nan	0.0	-960.168457031251
-3.847439697265647e-05	nan	0.0	nan	nan	0.0	-1274.8535156250011
-3.8976410751342994e-05	nan	0.0	nan	nan	0.0	-1350.0732421875011
-3.947842453002952e-05	nan	0.0	nan	nan	0.0	-1514.7949218750011
