LNEC Test File eXtractor

File: TolmezzoReducedScale_4.acq

Created in: 2026-02-20 14:57:36.300458

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	8982	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905	44.905
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
-2.7773551635742317e-05	nan	0.0	nan	nan	0.0	-374.6164855957036
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-570.0802612304692
-2.6419613037109505e-05	nan	0.0	nan	nan	0.0	-1439.7753601074223
-2.826589294433607e-05	nan	0.0	nan	nan	0.0	-1245.102935791016
-2.8758234252929816e-05	nan	0.0	nan	nan	0.0	-1335.3169860839848
-2.728121032714857e-05	nan	0.0	nan	nan	0.0	-2084.726684570313
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-1275.1742858886723
-2.5927271728515757e-05	nan	0.0	nan	nan	0.0	-1305.2456359863286
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-1379.6326599121098
-2.728121032714857e-05	nan	0.0	nan	nan	0.0	-1320.2813110351567
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-1154.8888854980473
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-1260.1386108398442
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-809.8597106933598
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-1439.7753601074223
-2.5927271728515757e-05	nan	0.0	nan	nan	0.0	-1514.953735351563
-2.5434930419922006e-05	nan	0.0	nan	nan	0.0	-1620.2034606933598
-2.5434930419922006e-05	nan	0.0	nan	nan	0.0	-1590.1321105957036
-2.5434930419922006e-05	nan	0.0	nan	nan	0.0	-1335.3169860839848
-2.5434930419922006e-05	nan	0.0	nan	nan	0.0	-885.0380859375005
-2.6419613037109505e-05	nan	0.0	nan	nan	0.0	-1109.781860351563
-2.6911954345703257e-05	nan	0.0	nan	nan	0.0	-900.0737609863286
-2.6419613037109505e-05	nan	0.0	nan	nan	0.0	-1469.8467102050786
-2.4942589111328255e-05	nan	0.0	nan	nan	0.0	-1514.953735351563
