LNEC Test File eXtractor

File: noiseLTF_scale0.5_PID_10_0.1_0.1_0.acq

Created in: 2025-08-07 17:49:29.322468

Number of channels: 6

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV
Type:						
Unit:	m	m	m	m/s^2	m/s^2	m/s^2
No. of Samples:	5897	5897	5897	5897	5897	5897
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	29.48	29.48	29.48	29.48	29.48	29.48
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV
-4.593885269165171e-06	nan	0.0	-0.09992970140039367	nan	0.0
-6.84372024536264e-07	nan	0.0	0.019813295894741796	nan	0.0
2.4156532287584544e-07	nan	0.0	-0.028010889000571453	nan	0.0
-6.84372024536264e-07	nan	0.0	0.0256544177140167	nan	0.0
-2.214033508302093e-07	nan	0.0	0.04682848430888821	nan	0.0
1.7333532714842439e-06	nan	0.0	-0.05794663832435532	nan	0.0
7.559749603270174e-07	nan	0.0	0.019813295894741796	nan	0.0
-1.198781661987436e-06	nan	0.0	0.08260535545194699	nan	0.0
2.6592906188963533e-06	nan	0.0	0.08552591636158444	nan	0.0
7.0317725372313145e-06	nan	0.0	0.022733856804379247	nan	0.0
8.009150848388542e-06	nan	0.0	-0.16856288277687376	nan	0.0
7.546182174682486e-06	nan	0.0	-0.16272176095759885	nan	0.0
8.986529159545768e-06	nan	0.0	-0.15688063913832395	nan	0.0
3.6366689300535803e-06	nan	0.0	0.013607103961762216	nan	0.0
-6.548641891479624e-06	nan	0.0	0.20818947456635734	nan	0.0
-8.45195755004896e-06	nan	0.0	0.17533316433293605	nan	0.0
-7.011610565185678e-06	nan	0.0	0.28886996969509193	nan	0.0
-6.84372024536264e-07	nan	0.0	0.0256544177140167	nan	0.0
4.151078567504753e-06	nan	0.0	-0.3839542498626357	nan	0.0
6.0543942260740875e-06	nan	0.0	-0.4109694382767821	nan	0.0
2.4156532287584544e-07	nan	0.0	-0.10285026231003112	nan	0.0
-8.96636718750013e-06	nan	0.0	0.1932215999044654	nan	0.0
-1.4779196090698373e-05	nan	0.0	0.22315734922824929	nan	0.0
-1.8637268371582164e-05	nan	0.0	0.14247685409951472	nan	0.0
-2.0129056320190563e-05	nan	0.0	-0.030931449910208905	nan	0.0
-1.961464668273939e-05	nan	0.0	-0.05794663832435532	nan	0.0
-1.961464668273939e-05	nan	0.0	-0.025090328090934002	nan	0.0
-2.1569403305053846e-05	nan	0.0	-0.040058202752825935	nan	0.0
-2.20323719787599e-05	nan	0.0	0.08260535545194699	nan	0.0
-2.3987128601074352e-05	nan	0.0	0.18117428615221096	nan	0.0
-2.691926353454603e-05	nan	0.0	0.14247685409951472	nan	0.0
-2.1569403305053846e-05	nan	0.0	-0.013043014338679519	nan	0.0
-1.4779196090698373e-05	nan	0.0	0.037701731466271184	nan	0.0
-7.011610565185678e-06	nan	0.0	0.3250119109518554	nan	0.0
6.0543942260740875e-06	nan	0.0	0.12130278750464321	nan	0.0
2.0612186965942255e-05	nan	0.0	-0.2047048240336372	nan	0.0
3.1774876098632684e-05	nan	0.0	-0.22551382051480404	nan	0.0
3.6610326690673696e-05	nan	0.0	-0.1776896356194908	nan	0.0
3.7587705001830926e-05	nan	0.0	-0.21346650676254955	nan	0.0
3.6610326690673696e-05	nan	0.0	0.019813295894741796	nan	0.0
3.7587705001830926e-05	nan	0.0	0.13627066216653513	nan	0.0
3.516997970581042e-05	nan	0.0	-0.10577082321966857	nan	0.0
3.131190742492663e-05	nan	0.0	-0.4646347449913703	nan	0.0
1.7731492996215693e-05	nan	0.0	-0.29743263291462624	nan	0.0
-5.571263580322397e-06	nan	0.0	0.004845421232849865	nan	0.0
-2.0129056320190563e-05	nan	0.0	0.14539741500915218	nan	0.0
-3.319506111145033e-05	nan	0.0	0.5433238389472548	nan	0.0
-3.854492134094251e-05	nan	0.0	0.7853653243334584	nan	0.0
