LNEC Test File eXtractor

File: laquilaReducedScale.tgt

Created in: 2026-02-25 21:53:29.222380

Number of channels: 6

Name:	DispT	DispL	DispV	AccT	AccL	AccV
Type:	Displacement	Displacement	Displacement	Acceleration	Acceleration	Acceleration
Unit:	m	m	m	m/s^2	m/s^2	m/s^2
No. of Samples:	8982	8982	8982	8982	8982	8982
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	44.905	44.905	44.905	44.905	44.905	44.905
Data:
DispT	DispL	DispV	AccT	AccL	AccV
2.397958261978236e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-7.457966513248176e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
2.397958261978236e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-7.457966513248176e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-5.480115007475635e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.53494174428069e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-9.467841750539616e-07	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-1.5400741756798542e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.1333641763057465e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-2.726654176931639e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.3199441775575317e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-3.913234178183424e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-4.5065241788093165e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-3.502263501703095e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.0998141794352095e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.6931041800611025e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.6931041800611025e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.6931041800611025e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.6931041800611025e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.6931041800611025e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-5.6931041800611025e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.286394180686995e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.286394180686995e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.286394180686995e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.286394180686995e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.286394180686995e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.286394180686995e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.879684181312887e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.879684181312887e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.879684181312887e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.879684181312887e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.879684181312887e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-6.879684181312887e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-7.47297418193878e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-7.47297418193878e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-7.47297418193878e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-7.47297418193878e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-7.47297418193878e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-7.47297418193878e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.066264182564671e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.066264182564671e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.066264182564671e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.066264182564671e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.066264182564671e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.066264182564671e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.659554183190565e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.659554183190565e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.659554183190565e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.659554183190565e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
-8.659554183190565e-06	0.0	0.0	-1.5244119959305547e-05	0.0	0.0
