time	PosT	PosL
0.000000	-4.0593033673473e-08	0.0
0.005000	-4.0593033673473e-08	0.0
0.010000	-4.0593033673473e-08	0.0
0.015000	-4.0593033673473e-08	0.0
0.020000	-4.0593033673473e-08	0.0
0.025000	-1.40053631042508e-07	0.0
0.030000	3.57249355802669e-07	0.0
0.035000	5.88675636955625e-08	0.0
0.040000	-7.36817215256721e-07	0.0
0.045000	-1.2341202021019e-06	0.0
0.050000	-2.39514228411544e-07	0.0
0.055000	-6.37356617887686e-07	0.0
0.060000	5.88675636955625e-08	0.0
0.065000	-6.37356617887686e-07	0.0
0.070000	-9.35738409994792e-07	0.0
0.075000	2.04807951107627e-06	0.0
0.080000	2.04807951107627e-06	0.0
0.085000	-2.82548976000646e-06	0.0
0.090000	1.58328161064598e-07	0.0
0.095000	-6.37356617887686e-07	0.0
0.100000	-3.38974825780579e-07	0.0
0.105000	-2.02980498105418e-06	0.0
0.110000	3.57249355802669e-07	0.0
0.115000	-2.39514228411544e-07	0.0
0.120000	-2.42764737053032e-06	0.0
0.125000	-6.60499246002981e-06	0.0
0.130000	-5.01362290212524e-06	0.0
0.135000	-4.71524111001814e-06	0.0
0.140000	2.54538249792145e-06	0.0
0.145000	6.22542460057576e-06	0.0
0.150000	-1.31693918863861e-05	0.0
0.155000	2.74430369265952e-06	0.0
0.160000	-2.22872617579225e-06	0.0
0.165000	1.74969771896916e-06	0.0
0.170000	8.71193953480164e-06	0.0
0.175000	-4.91416230475621e-06	0.0
0.180000	-1.21747859126958e-05	0.0
0.185000	-1.69488945864095e-05	0.0
0.190000	9.50762431375393e-06	0.0
0.195000	5.03189743214733e-06	0.0
0.200000	-8.99204679688666e-06	0.0
0.205000	-1.63521310021953e-05	0.0
0.210000	-7.36817215256721e-07	0.0
0.215000	-9.48934978373184e-06	0.0
0.220000	1.44806541822057e-05	0.0
0.225000	-2.82548976000646e-06	0.0
0.230000	2.28353443612047e-05	0.0
0.235000	-4.71524111001814e-06	0.0
0.240000	-3.91955633106585e-06	0.0
0.245000	-1.12796405363745e-05	0.0
0.250000	-4.01901692843489e-06	0.0
0.255000	-1.04839557574222e-05	0.0
0.260000	-1.00861133679461e-05	0.0
0.265000	3.63944906898084e-06	0.0
0.270000	1.76633932980148e-05	0.0
0.275000	3.65609067981316e-05	0.0
0.280000	-1.50591432363978e-05	0.0
0.285000	-1.72472763785166e-05	0.0
0.290000	2.3730489737526e-05	0.0
0.295000	8.61247893743261e-06	0.0
0.300000	3.12894951375727e-05	0.0
0.305000	2.35315685427879e-05	0.0
0.310000	2.94322488739759e-06	0.0
0.315000	-2.62981907390988e-05	0.0
0.320000	5.42973982162348e-06	0.0
0.325000	6.05309107640691e-05	0.0
0.330000	3.02948891638823e-05	0.0
0.335000	3.29803252928463e-05	0.0
0.340000	-3.34593537496694e-05	0.0
0.345000	-4.81470170738717e-06	0.0
0.350000	3.55663008244412e-05	0.0
0.355000	-4.51957042392156e-05	0.0
0.360000	4.53459444530216e-06	0.0
0.365000	-5.81255818971902e-05	0.0
0.370000	-5.70984708370849e-06	0.0
0.375000	-4.03221349681328e-05	0.0
0.380000	-3.18679841917648e-05	0.0
0.385000	-6.50878237130226e-05	0.0
0.390000	4.15339366665833e-05	0.0
0.395000	-3.40561173338836e-05	0.0
0.400000	0.000100116228516945	0.0
0.405000	5.7447632245629e-05	0.0
0.410000	-5.74293577156069e-05	0.0
0.415000	-9.23400273921383e-05	0.0
0.420000	-6.39937571419632e-05	0.0
0.425000	-2.22872617579225e-06	0.0
0.430000	-0.000101987705336935	0.0
0.435000	-3.69404746575856e-05	0.0
0.440000	-4.56930072260607e-05	0.0
0.445000	-3.61447898786333e-05	0.0
0.450000	7.77375941089122e-05	0.0
0.455000	-0.000145849828776679	0.0
0.460000	-6.45905207261775e-05	0.0
0.465000	2.81067560217635e-05	0.0
0.470000	-0.000104275299076423	0.0
0.475000	1.8061235687491e-05	0.0
0.480000	-4.01232137733947e-05	0.0
0.485000	-1.63521310021953e-05	0.0
0.490000	5.40659719350818e-05	0.0
0.495000	2.79078348270255e-05	0.0
0.500000	3.85501187455123e-05	0.0
0.505000	-8.24934282526038e-05	0.0
0.510000	2.43272533217402e-05	0.0
0.515000	3.65609067981316e-05	0.0
0.520000	-4.33059528892039e-05	0.0
0.525000	9.62372652195528e-05	0.0
0.530000	-3.91955633106585e-06	0.0
0.535000	-6.10768947318463e-06	0.0
0.540000	6.78909949693777e-05	0.0
0.545000	4.03404094981549e-05	0.0
0.550000	0.000149846527201463	0.0
0.555000	-2.9480929854908e-05	0.0
0.560000	-6.65797326735582e-05	0.0
0.565000	-3.44539597233597e-05	0.0
0.570000	-0.000139484350545061	0.0
0.575000	0.00015432225408307	0.0
0.580000	-0.000112530528658053	0.0
0.585000	0.000168346198312103	0.0
0.590000	0.000120406190380228	0.0
0.595000	-0.000125559866913396	0.0
0.600000	-0.000139782732337168	0.0
0.605000	-0.000103579074894839	0.0
