LNEC Test File eXtractor

File: pink_noise_40Hz_T3mm_0_P1_I40.acq

Created in: 2026-04-20 17:13:26.263936

Number of channels: 7

Name:	PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
Type:							
Unit:	m	m	m	m/s^2	m/s^2	m/s^2	bits
No. of Samples:	32768	32768	32768	32768	32768	32768	32768
Time step [s]:	0.005	0.005	0.005	0.005	0.005	0.005	0.005
Trigger date:	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01	1970-01-01
Trigger time:	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000	00:00:00.000000
Duration [s]:	163.835	163.835	163.835	163.835	163.835	163.835	163.835
Data:
PosA1T	PosA2L	PosA3V	accT	accL	accV	SV2
2.209803161620515e-06	nan	0.0	nan	nan	0.0	-1328.4830459412167
1.3154067993158272e-06	nan	0.0	nan	nan	0.0	-1335.1255965735743
-1.1441831970220634e-06	nan	0.0	nan	nan	0.0	-1303.5734810698757
-1.3798728942928992e-07	nan	0.0	nan	nan	0.0	-1277.0032785404453
-1.3798728942928992e-07	nan	0.0	nan	nan	0.0	-1296.930930437518
3.0921089172305385e-07	nan	0.0	nan	nan	0.0	-1299.4218869246522
3.0921089172305385e-07	nan	0.0	nan	nan	0.0	-1272.8516843952218
1.3154067993158272e-06	nan	0.0	nan	nan	0.0	-1281.9851915147135
1.762604980468171e-06	nan	0.0	nan	nan	0.0	-1285.3064668308923
3.0921089172305385e-07	nan	0.0	nan	nan	0.0	-1250.4330760110151
3.0921089172305385e-07	nan	0.0	nan	nan	0.0	-1283.645829172803
-1.1441831970220634e-06	nan	0.0	nan	nan	0.0	-1274.5123220533112
-6.969850158697196e-07	nan	0.0	nan	nan	0.0	-1234.6570182591659
-1.1441831970220634e-06	nan	0.0	nan	nan	0.0	-1252.0937136691045
-1.5913813781744072e-06	nan	0.0	nan	nan	0.0	-1282.8155103437582
-1.5913813781744072e-06	nan	0.0	nan	nan	0.0	-1242.9602065496128
-1.1441831970220634e-06	nan	0.0	nan	nan	0.0	-1236.3176559172553
-6.969850158697196e-07	nan	0.0	nan	nan	0.0	-1321.840495308859
-1.1441831970220634e-06	nan	0.0	nan	nan	0.0	-1247.942119523881
-6.969850158697196e-07	nan	0.0	nan	nan	0.0	-1214.729366362093
3.0921089172305385e-07	nan	0.0	nan	nan	0.0	-1206.426178071646
-1.3798728942928992e-07	nan	0.0	nan	nan	0.0	-1255.4149889852831
-1.5913813781744072e-06	nan	0.0	nan	nan	0.0	-1218.0506416782719
